date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:14	131/131	---MCZ	200	added ('OK')	text/plain	date:Fri,%2028%20Mar%202025%2002:25:19%20GMT	https://mvisystems.com/robots.txt		(from )
22:25:14	160523/160523	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Mar%202025%2002:25:19%20GMT	https://mvisystems.com/	C:/My%20Web%20Sites/mvi/mvi%20copy2/mvisystems.com/index.html	(from )
22:25:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2028%20Mar%202025%2002:25:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/mvi/mvi%20copy2/www.googletagmanager.com/gtm.05445.delayed	(from https://mvisystems.com/)
22:25:14	114706/114706	---MCZ	200	added ('OK')	text/css	etag:W/%22672ce543-1c012%22	https://mvisystems.com/wp-includes/css/dist/block-library/style.min.css?ver=6.7.1	C:/My%20Web%20Sites/mvi/mvi%20copy2/mvisystems.com/wp-includes/css/dist/block-library/style.min9704.css	(from https://mvisystems.com/)
22:25:15	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%2265736d71-b4e%22	https://mvisystems.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.4	C:/My%20Web%20Sites/mvi/mvi%20copy2/mvisystems.com/wp-content/plugins/contact-form-7/includes/css/styles69c8.css	(from https://mvisystems.com/)
22:25:15	286617/286617	---MCZ	200	added ('OK')	text/css	etag:W/%2263f3e5aa-45f99%22	https://mvisystems.com/wp-content/themes/understrap/css/theme-bootstrap4.min.css?ver=1.0.1676928426	C:/My%20Web%20Sites/mvi/mvi%20copy2/mvisystems.com/wp-content/themes/understrap/css/theme-bootstrap4.min04f9.css	(from https://mvisystems.com/)
22:25:15	63113/63113	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b7f6dbf165aae219b7cd80b11efc29b8%22	https://mvisystems.com/feed/	C:/My%20Web%20Sites/mvi/mvi%20copy2/mvisystems.com/feed/index.html	(from https://mvisystems.com/)
22:25:15	101784/101784	---MCZ	200	added ('OK')	text/css	etag:W/%226cb5a85b30082e3d59d7e371e002ce8d%22	https://use.fontawesome.com/releases/v6.2.0/css/all.css	C:/My%20Web%20Sites/mvi/mvi%20copy2/use.fontawesome.com/releases/v6.2.0/css/all.css	(from https://mvisystems.com/)
22:25:15	10297/10297	---MCZ	200	added ('OK')	text/css	etag:W/%2263f3e5ad-2839%22	https://mvisystems.com/wp-content/plugins/bellows-accordion-menu/assets/css/bellows.min.css?ver=1.4.2	C:/My%20Web%20Sites/mvi/mvi%20copy2/mvisystems.com/wp-content/plugins/bellows-accordion-menu/assets/css/bellows.min1159.css	(from https://mvisystems.com/)
22:25:16	26711/26711	---MCZ	200	added ('OK')	text/css	etag:W/%2263f3e5ad-6857%22	https://mvisystems.com/wp-content/plugins/bellows-accordion-menu/assets/css/fontawesome/css/font-awesome.min.css?ver=1.4.2	C:/My%20Web%20Sites/mvi/mvi%20copy2/mvisystems.com/wp-content/plugins/bellows-accordion-menu/assets/css/fontawesome/css/font-awesome.min1159.css	(from https://mvisystems.com/)
